row_index,status,error,screenshot,user_agent,proxy,timestamp
1,ok,,row_00001.png,"Mozilla/5.0 (Linux; Android 14; Pixel 7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.7727.50 Mobile Safari/537.36",,2026-04-21T09:27:37.198869+00:00
2,ok,,row_00002.png,"Mozilla/5.0 (Linux; Android 14; RMX3834) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.7727.49 Mobile Safari/537.36",,2026-04-21T09:28:19.440365+00:00
